NumpyFilename,Age
1000_5.7h_70w_male_46a.jpg.npy,46
1001_6h_83w_male_68a.png.npy,68
1002_5.2h_50w_female_51a.png.npy,51
1003_5.10h_74w_male_41a.png.npy,41
1004_5.10h_67w_female_63a.png.npy,63
1005_5.4h_59w_female_38a.png.npy,38
1006_5.8h_71w_male_48a.png.npy,48
1007_5.3h_48w_female_46a.png.npy,46
1008_5.4h_58w_female_51a.png.npy,51
1009_5.7h_61w_female_36a.png.npy,36
100_5.6h_66w_female_44a.png.npy,44
1010_6.2h_88w_male_70a.png.npy,70
1011_5.4h_58w_female_57a.png.npy,57
1012_6.3h_95w_male_55a.png.npy,55
1013_5.7h_57w_female_53a.png.npy,53
1014_5.9h_55w_female_56a.png.npy,56
1015_5.1h_55w_female_47a.png.npy,47
1016_5.6h_85w_female_92a.png.npy,92
1017_6.4h_90w_male_52a.png.npy,52
1018_5.9h_57w_female_49a.png.npy,49
1019_6h_82w_male_42a.png.npy,42
101_5.9h_64w_female_27a.png.npy,27
1020_6h_78w_male_35a.png.npy,35
1021_5.5h_51w_female_26a.png.npy,26
1022_5.5h_61w_female_40a.png.npy,40
1023_5.7h_56w_female_47a.png.npy,47
1024_5.8h_57w_female_62a.png.npy,62
1025_5.7h_54w_female_65a.png.npy,65
1026_6.2h_101w_male_44a.png.npy,44
1027_5.8h_55w_female_31a.png.npy,31
1028_5.4h_67w_female_65a.png.npy,65
1029_5.8h_74w_male_80a.png.npy,80
102_5.9h_80w_male_39a.png.npy,39
1030_5.9h_74w_male_59a.png.npy,59
1031_5.11h_80w_male_33a.png.npy,33
1032_5.3h_52w_female_36a.png.npy,36
1033_5.9h_70w_male_37a.png.npy,37
1034_5.9h_75w_female_42a.png.npy,42
1035_5.9h_70w_male_38a.png.npy,38
1036_6.10h_114w_male_34a.png.npy,34
1037_5.9h_73w_male_41a.png.npy,41
1038_5.1h_46w_female_23a.png.npy,23
1039_5.3h_51w_female_24a.png.npy,24
103_5.2h_52w_female_29a.png.npy,29
1040_5.11h_78w_male_45a.png.npy,45
1041_6h_80w_male_47a.jpg.npy,47
1042_5.7h_57w_female_44a.png.npy,44
1043_6.2h_86w_male_90a.jpg.npy,90
1044_5.10h_84w_male_67a.jpg.npy,67
1045_5.11h_79w_male_50a.png.npy,50
1046_5.9h_72w_male_65a.png.npy,65
1047_5.5h_55w_female_50a.png.npy,50
1048_5.6h_52w_female_50a.png.npy,50
1049_5.10h_78w_male_41a.png.npy,41
104_6.4h_99w_male_42a.png.npy,42
1050_6.2h_88w_male_40a.jpg.npy,40
1051_5.9h_79w_male_46a.png.npy,46
1052_6.3h_88w_male_31a.png.npy,31
1053_6.3h_86w_male_35a.png.npy,35
1054_5.7h_57w_female_51a.png.npy,51
1055_5.10h_74w_male_40a.png.npy,40
1056_5.9h_54w_female_33a.png.npy,33
1057_5.10h_77w_male_62a.png.npy,62
1058_6h_79w_male_38a.png.npy,38
1059_5.10h_77w_male_56a.png.npy,56
105_6.2h_94w_male_46a.png.npy,46
1060_5.7h_67w_male_36a.png.npy,36
1061_5.5h_54w_female_28a.png.npy,28
1062_6h_82w_male_54a.png.npy,54
1063_5.10h_80w_male_53a.jpg.npy,53
1064_5.10h_78w_male_47a.png.npy,47
1065_5.7h_54w_female_59a.png.npy,59
1066_5.3h_57w_female_48a.png.npy,48
1067_5.8h_62w_female_60a.png.npy,60
1068_5.8h_61w_female_69a.png.npy,69
1069_6.3h_77w_female_53a.jpg.npy,53
106_6.3h_85w_male_37a.png.npy,37
1070_5.9h_68w_male_59a.jpg.npy,59
1071_5.5h_59w_female_58a.png.npy,58
1072_5.7h_58w_female_45a.png.npy,45
1073_5.7h_63w_female_42a.png.npy,42
1074_6h_78w_male_67a.png.npy,67
1075_5.8h_57w_female_44a.png.npy,44
1076_5.9h_66w_female_52a.png.npy,52
1077_6.4h_84w_male_59a.png.npy,59
1078_5.5h_56w_female_62a.png.npy,62
1079_5.11h_72w_male_52a.png.npy,52
107_4.4h_36w_male_18a.png.npy,18
1080_5.11h_79w_male_49a.png.npy,49
1081_5.3h_57w_female_22a.png.npy,22
1082_5.7h_55w_female_35a.png.npy,35
1083_5.9h_82w_male_38a.jpg.npy,38
1084_6h_82w_male_58a.png.npy,58
1085_5.10h_89w_male_66a.png.npy,66
