NumpyFilename,Weight
1000_5.7h_70w_male_46a.jpg.npy,70
1001_6h_83w_male_68a.png.npy,83
1002_5.2h_50w_female_51a.png.npy,50
1003_5.10h_74w_male_41a.png.npy,74
1004_5.10h_67w_female_63a.png.npy,67
1005_5.4h_59w_female_38a.png.npy,59
1006_5.8h_71w_male_48a.png.npy,71
1007_5.3h_48w_female_46a.png.npy,48
1008_5.4h_58w_female_51a.png.npy,58
1009_5.7h_61w_female_36a.png.npy,61
100_5.6h_66w_female_44a.png.npy,66
1010_6.2h_88w_male_70a.png.npy,88
1011_5.4h_58w_female_57a.png.npy,58
1012_6.3h_95w_male_55a.png.npy,95
1013_5.7h_57w_female_53a.png.npy,57
1014_5.9h_55w_female_56a.png.npy,55
1015_5.1h_55w_female_47a.png.npy,55
1016_5.6h_85w_female_92a.png.npy,85
1017_6.4h_90w_male_52a.png.npy,90
1018_5.9h_57w_female_49a.png.npy,57
1019_6h_82w_male_42a.png.npy,82
101_5.9h_64w_female_27a.png.npy,64
1020_6h_78w_male_35a.png.npy,78
1021_5.5h_51w_female_26a.png.npy,51
1022_5.5h_61w_female_40a.png.npy,61
1023_5.7h_56w_female_47a.png.npy,56
1024_5.8h_57w_female_62a.png.npy,57
1025_5.7h_54w_female_65a.png.npy,54
1026_6.2h_101w_male_44a.png.npy,101
1027_5.8h_55w_female_31a.png.npy,55
1028_5.4h_67w_female_65a.png.npy,67
1029_5.8h_74w_male_80a.png.npy,74
102_5.9h_80w_male_39a.png.npy,80
1030_5.9h_74w_male_59a.png.npy,74
1031_5.11h_80w_male_33a.png.npy,80
1032_5.3h_52w_female_36a.png.npy,52
1033_5.9h_70w_male_37a.png.npy,70
1034_5.9h_75w_female_42a.png.npy,75
1035_5.9h_70w_male_38a.png.npy,70
1036_6.10h_114w_male_34a.png.npy,114
1037_5.9h_73w_male_41a.png.npy,73
1038_5.1h_46w_female_23a.png.npy,46
1039_5.3h_51w_female_24a.png.npy,51
103_5.2h_52w_female_29a.png.npy,52
1040_5.11h_78w_male_45a.png.npy,78
1041_6h_80w_male_47a.jpg.npy,80
1042_5.7h_57w_female_44a.png.npy,57
1043_6.2h_86w_male_90a.jpg.npy,86
1044_5.10h_84w_male_67a.jpg.npy,84
1045_5.11h_79w_male_50a.png.npy,79
1046_5.9h_72w_male_65a.png.npy,72
1047_5.5h_55w_female_50a.png.npy,55
1048_5.6h_52w_female_50a.png.npy,52
1049_5.10h_78w_male_41a.png.npy,78
104_6.4h_99w_male_42a.png.npy,99
1050_6.2h_88w_male_40a.jpg.npy,88
1051_5.9h_79w_male_46a.png.npy,79
1052_6.3h_88w_male_31a.png.npy,88
1053_6.3h_86w_male_35a.png.npy,86
1054_5.7h_57w_female_51a.png.npy,57
1055_5.10h_74w_male_40a.png.npy,74
1056_5.9h_54w_female_33a.png.npy,54
1057_5.10h_77w_male_62a.png.npy,77
1058_6h_79w_male_38a.png.npy,79
1059_5.10h_77w_male_56a.png.npy,77
105_6.2h_94w_male_46a.png.npy,94
1060_5.7h_67w_male_36a.png.npy,67
1061_5.5h_54w_female_28a.png.npy,54
1062_6h_82w_male_54a.png.npy,82
1063_5.10h_80w_male_53a.jpg.npy,80
1064_5.10h_78w_male_47a.png.npy,78
1065_5.7h_54w_female_59a.png.npy,54
1066_5.3h_57w_female_48a.png.npy,57
1067_5.8h_62w_female_60a.png.npy,62
1068_5.8h_61w_female_69a.png.npy,61
1069_6.3h_77w_female_53a.jpg.npy,77
106_6.3h_85w_male_37a.png.npy,85
1070_5.9h_68w_male_59a.jpg.npy,68
1071_5.5h_59w_female_58a.png.npy,59
1072_5.7h_58w_female_45a.png.npy,58
1073_5.7h_63w_female_42a.png.npy,63
1074_6h_78w_male_67a.png.npy,78
1075_5.8h_57w_female_44a.png.npy,57
1076_5.9h_66w_female_52a.png.npy,66
1077_6.4h_84w_male_59a.png.npy,84
1078_5.5h_56w_female_62a.png.npy,56
1079_5.11h_72w_male_52a.png.npy,72
107_4.4h_36w_male_18a.png.npy,36
1080_5.11h_79w_male_49a.png.npy,79
1081_5.3h_57w_female_22a.png.npy,57
1082_5.7h_55w_female_35a.png.npy,55
1083_5.9h_82w_male_38a.jpg.npy,82
1084_6h_82w_male_58a.png.npy,82
1085_5.10h_89w_male_66a.png.npy,89
1086_5.8h_72w_male_64a.png.npy,72
1087_6h_82w_male_50a.png.npy,82
1088_6.2h_87w_male_59a.png.npy,87
1089_5.7h_63w_female_77a.png.npy,63
108_5.9h_58w_female_56a.png.npy,58
1090_5.5h_52w_female_42a.png.npy,52
1091_5.10h_75w_male_36a.png.npy,75
1092_5.4h_55w_female_63a.png.npy,55
1093_5.7h_63w_female_60a.jpg.npy,63
1094_5.9h_110w_female_42a.png.npy,110
1095_5.10h_73w_male_80a.png.npy,73
1096_5.10h_77w_male_37a.png.npy,77
1097_5.8h_58w_female_54a.png.npy,58
1098_5.7h_60w_female_50a.png.npy,60
1099_5.4h_58w_female_84a.png.npy,58
109_6.1h_72w_male_24a.png.npy,72
10_6.4h_97w_male_37a.png.npy,97
1100_5.7h_62w_female_67a.png.npy,62
1101_6h_75w_male_43a.png.npy,75
1102_5.9h_57w_female_50a.jpg.npy,57
1103_6h_77w_male_41a.png.npy,77
1104_5.4h_57w_female_41a.png.npy,57
1105_5.6h_60w_female_57a.png.npy,60
1106_5.11h_83w_male_37a.png.npy,83
1107_6h_78w_male_43a.png.npy,78
1108_5.5h_54w_female_36a.jpg.npy,54
1109_6.4h_89w_male_51a.png.npy,89
110_5.9h_60w_female_40a.png.npy,60
1110_5.3h_58w_female_42a.png.npy,58
1111_6.2h_92w_male_31a.png.npy,92
1112_5.11h_79w_male_61a.png.npy,79
1113_6.1h_79w_male_66a.png.npy,79
1114_5.7h_64w_female_59a.png.npy,64
1115_5.9h_83w_male_38a.png.npy,83
1116_5.10h_58w_female_36a.png.npy,58
1117_5.4h_62w_female_33a.png.npy,62
1118_5.7h_57w_female_59a.png.npy,57
1119_6h_83w_male_43a.png.npy,83
111_5.8h_55w_female_39a.png.npy,55
1120_6.5h_91w_male_39a.png.npy,91
1121_5.10h_77w_male_57a.png.npy,77
1122_5.9h_71w_male_45a.png.npy,71
1123_5.10h_70w_male_31a.png.npy,70
1124_5.10h_84w_male_53a.png.npy,84
1125_5.9h_77w_male_62a.png.npy,77
1126_6.2h_83w_male_43a.jpg.npy,83
1127_5.11h_86w_male_74a.png.npy,86
1128_5.11h_78w_male_50a.png.npy,78
1129_5.5h_54w_female_38a.png.npy,54
112_5.10h_56w_female_31a.png.npy,56
1130_5.11h_77w_male_74a.jpg.npy,77
1131_6.1h_80w_male_69a.png.npy,80
1132_6.2h_78w_male_36a.png.npy,78
1133_6h_69w_female_36a.jpg.npy,69
1134_6.1h_85w_male_42a.png.npy,85
1135_6h_90w_male_43a.png.npy,90
1136_5.10h_75w_male_55a.png.npy,75
1137_5.5h_61w_female_52a.png.npy,61
1138_5.6h_59w_female_49a.png.npy,59
1139_6.1h_108w_male_58a.png.npy,108
113_5.2h_64w_male_44a.png.npy,64
1140_5.5h_57w_female_38a.jpg.npy,57
1141_6.1h_86w_male_52a.png.npy,86
1142_6.6h_96w_male_45a.png.npy,96
1143_6.4h_102w_male_71a.png.npy,102
1144_6h_66w_female_53a.png.npy,66
1145_6h_82w_male_54a.png.npy,82
1146_5.10h_62w_female_42a.png.npy,62
1147_5.4h_56w_female_51a.png.npy,56
1148_4.12h_46w_female_55a.png.npy,46
1149_5.10h_53w_female_35a.png.npy,53
114_6.2h_87w_male_40a.png.npy,87
1150_5.3h_62w_female_46a.png.npy,62
1151_5.10h_56w_female_35a.png.npy,56
1152_5.9h_68w_female_61a.png.npy,68
1153_5.6h_54w_female_41a.png.npy,54
1154_5.10h_57w_female_29a.jpg.npy,57
1155_5.11h_55w_female_31a.jpg.npy,55
1156_5.10h_52w_female_31a.png.npy,52
1157_5.10h_54w_female_28a.png.npy,54
1158_6h_55w_female_30a.jpg.npy,55
1159_5.3h_93w_female_31a.jpg.npy,93
115_5.11h_80w_male_47a.png.npy,80
1160_5.10h_56w_female_29a.jpg.npy,56
1161_5.10h_54w_female_44a.png.npy,54
1162_5.11h_57w_female_30a.png.npy,57
1163_5.11h_55w_female_30a.png.npy,55
1164_5.10h_56w_female_27a.png.npy,56
1165_5.10h_61w_female_48a.png.npy,61
1166_5.11h_76w_male_57a.png.npy,76
1167_5.3h_53w_female_48a.png.npy,53
1168_5.9h_55w_female_26a.png.npy,55
1169_5.10h_61w_female_56a.png.npy,61
116_5.9h_55w_female_31a.png.npy,55
1170_5.10h_55w_female_28a.png.npy,55
1171_5.7h_65w_male_51a.png.npy,65
1172_5.5h_66w_female_50a.png.npy,66
1173_5.2h_65w_female_55a.png.npy,65
1174_5.3h_54w_female_63a.png.npy,54
1175_6.3h_75w_male_34a.png.npy,75
1176_5.5h_55w_female_43a.png.npy,55
1177_5.2h_52w_female_33a.png.npy,52
1178_5.6h_53w_female_40a.png.npy,53
1179_5.6h_55w_female_34a.png.npy,55
